MonthDay,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
04-May,,0.19,1.08,0.11,0.11,0.16,0.03,1.11,0.17,0.2,4.47,0.14,0.22,0.16,0.01,7.12,0.04,3.03,2.6,1.59,0.37,0.63,0.69,0.25,11.5,1.65
05-May,,0.1,0.63,0.4,0.06,0.03,0.06,1.85,0.14,1.54,11.71,0.2,0.06,3.3,0.07,2.77,2.67,3.27,0.84,1.27,0.35,0.07,0.12,0.67,5.89,6.49
06-May,,0.23,0.37,1.15,0.56,0.12,1.39,0.24,0.41,0.55,3.58,3.64,0.3,6.34,0.66,0.2,2.16,0.55,2.22,0.2,0.31,1.13,1.34,0.38,1.96,4.37
07-May,,0.23,0.38,0.21,0.27,1.22,0.39,0.68,0.06,0.3,0.75,4.33,0.81,1.15,0.08,4.43,0.6,0.72,0.25,0.38,0.17,3.51,0.77,0.42,0.82,2.56
08-May,,0.23,0.16,0.12,0.27,0.13,0.78,0.22,2.18,1.06,0.17,1.64,0.19,0.06,0.41,3.99,1.61,9.15,0.89,0.69,0.3,1.3,0.27,0.33,0.5,17.75
09-May,,0.23,0.38,0.09,0.27,0.35,1.58,1.43,0.89,1.6,14.11,0.63,0.14,0.05,0.62,9.44,0.87,4.62,1.04,0.49,0.48,0.65,0.07,0.21,0.25,2.51
10-May,,0.71,0.53,0.84,0.27,0.81,0.45,0.19,0.38,4.12,0.77,0.2,0.21,0.1,0.09,0.65,1.17,1,0.85,1.26,0.46,2.21,0.07,0.32,0.68,0.24
11-May,,0.8,1.03,0.1,0.52,0.1,0.43,4.74,0.03,1.34,0.45,0.18,3.16,2.36,0.4,0.21,1.62,3.38,0.87,0.95,0.47,2.86,0.33,0.5,0.81,0.26
12-May,,0.46,0.24,0.03,0.34,1.42,0.17,1.26,0.12,0.87,0.33,0.29,6.5,0.2,1.13,0.2,0.16,0.75,0.21,0.45,0.27,0.95,0.33,0.4,0.31,0.53
13-May,,0.12,0.25,0.72,0.35,0.15,0.3,4.67,0.78,0.2,0.62,0.91,1.05,0.09,0.26,0.3,0.09,0.2,2.95,0.6,0.24,0.39,0.33,0.39,0.32,0.46
14-May,,0.34,0.28,1,0.35,0.3,2.71,2.58,1.26,0.19,0.49,0.23,1.64,0.07,0.79,0.27,0.09,0.15,1.43,0.19,0.28,0.08,0.33,0.39,0.31,0.97
15-May,,0.48,0.24,0.38,0.51,0.08,0.39,0.49,0.25,0.1,0.17,0.45,4.98,0.07,0.04,1.12,0.1,0.37,0.3,0.12,1.73,0.01,0.75,0.39,0.31,0.18
16-May,,0.69,0.02,0.03,0.16,0.42,0.38,1.05,0.39,1.96,0.36,0.32,4.6,0.44,0.01,0.66,0.53,1.47,2.84,0.06,0.02,0.45,1.98,0.38,0.37,0.09
17-May,,0.33,0.02,0.14,0.89,0.47,0.17,1.17,0.41,0.32,0.84,1.69,0.68,0.44,0.01,0.4,0.44,1.05,0.26,1.37,0.02,0.49,0.14,0.4,0.35,0.32
